school_code,school_name,location,city,school_nature,school_level,is985,is211,is_double_first,description
13892,三亚学院,三亚,三亚市,民办,本科,0,0,0,三亚学院是教育部公布的普通高等学校（本科），位于三亚·三亚市。
11100,海南热带海洋学院,三亚,三亚市,公办,本科,0,0,0,海南热带海洋学院是教育部公布的普通高等学校（本科），位于三亚·三亚市。
11311,三明学院,三明,三明市,公办,本科,0,0,0,三明学院是教育部公布的普通高等学校（本科），位于三明·三明市。
10268,上海中医药大学,上海,上海市,公办,本科,0,1,1,上海中医药大学是教育部公布的普通高等学校（本科），位于上海·上海市。
10248,上海交通大学,上海,上海市,公办,本科,1,1,1,上海交通大学是教育部公布的普通高等学校（本科），位于上海·上海市。
10277,上海体育学院,上海,上海市,公办,本科,0,0,0,上海体育学院是教育部公布的普通高等学校（本科），位于上海·上海市。
10262,上海健康医学院,上海,上海市,公办,本科,0,0,0,上海健康医学院是教育部公布的普通高等学校（本科），位于上海·上海市。
10283,上海公安学院,上海,上海市,公办,本科,0,0,0,上海公安学院是教育部公布的普通高等学校（本科），位于上海·上海市。
12914,上海兴伟学院,上海,上海市,民办,本科,0,0,0,上海兴伟学院是教育部公布的普通高等学校（本科），位于上海·上海市。
12050,上海商学院,上海,上海市,公办,本科,0,0,0,上海商学院是教育部公布的普通高等学校（本科），位于上海·上海市。
10271,上海外国语大学,上海,上海市,公办,本科,0,0,0,上海外国语大学是教育部公布的普通高等学校（本科），位于上海·上海市。
13636,上海外国语大学贤达经济人文学院,上海,上海市,民办,本科,0,0,0,上海外国语大学贤达经济人文学院是教育部公布的普通高等学校（本科），位于上海·上海市。
10280,上海大学,上海,上海市,公办,本科,0,1,1,上海大学是教育部公布的普通高等学校（本科），位于上海·上海市。
10273,上海对外经贸大学,上海,上海市,公办,本科,0,0,0,上海对外经贸大学是教育部公布的普通高等学校（本科），位于上海·上海市。
10856,上海工程技术大学,上海,上海市,公办,本科,0,0,0,上海工程技术大学是教育部公布的普通高等学校（本科），位于上海·上海市。
10270,上海师范大学,上海,上海市,公办,本科,0,0,0,上海师范大学是教育部公布的普通高等学校（本科），位于上海·上海市。
13893,上海师范大学天华学院,上海,上海市,民办,本科,0,0,0,上海师范大学天华学院是教育部公布的普通高等学校（本科），位于上海·上海市。
10259,上海应用技术大学,上海,上海市,公办,本科,0,0,0,上海应用技术大学是教育部公布的普通高等学校（本科），位于上海·上海市。
12799,上海建桥学院,上海,上海市,民办,本科,0,0,0,上海建桥学院是教育部公布的普通高等学校（本科），位于上海·上海市。
10279,上海戏剧学院,上海,上海市,公办,本科,0,0,0,上海戏剧学院是教育部公布的普通高等学校（本科），位于上海·上海市。
11835,上海政法学院,上海,上海市,公办,本科,0,0,0,上海政法学院是教育部公布的普通高等学校（本科），位于上海·上海市。
11833,上海杉达学院,上海,上海市,民办,本科,0,0,0,上海杉达学院是教育部公布的普通高等学校（本科），位于上海·上海市。
10254,上海海事大学,上海,上海市,公办,本科,0,0,0,上海海事大学是教育部公布的普通高等学校（本科），位于上海·上海市。
10274,上海海关学院,上海,上海市,公办,本科,0,0,0,上海海关学院是教育部公布的普通高等学校（本科），位于上海·上海市。
10264,上海海洋大学,上海,上海市,公办,本科,0,0,0,上海海洋大学是教育部公布的普通高等学校（本科），位于上海·上海市。
10252,上海理工大学,上海,上海市,公办,本科,0,0,0,上海理工大学是教育部公布的普通高等学校（本科），位于上海·上海市。
10256,上海电力学院,上海,上海市,公办,本科,0,0,0,上海电力学院是教育部公布的普通高等学校（本科），位于上海·上海市。
11458,上海电机学院,上海,上海市,公办,本科,0,0,0,上海电机学院是教育部公布的普通高等学校（本科），位于上海·上海市。
14423,上海科技大学,上海,上海市,公办,本科,0,0,0,上海科技大学是教育部公布的普通高等学校（本科），位于上海·上海市。
11047,上海立信会计金融学院,上海,上海市,公办,本科,0,0,0,上海立信会计金融学院是教育部公布的普通高等学校（本科），位于上海·上海市。
12044,上海第二工业大学,上海,上海市,公办,本科,0,0,0,上海第二工业大学是教育部公布的普通高等学校（本科），位于上海·上海市。
16404,上海纽约大学,上海,上海市,公办,本科,0,0,0,上海纽约大学是教育部公布的普通高等学校（本科），位于上海·上海市。
13632,上海视觉艺术学院,上海,上海市,民办,本科,0,0,0,上海视觉艺术学院是教育部公布的普通高等学校（本科），位于上海·上海市。
10272,上海财经大学,上海,上海市,公办,本科,0,1,1,上海财经大学是教育部公布的普通高等学校（本科），位于上海·上海市。
10278,上海音乐学院,上海,上海市,公办,本科,0,0,0,上海音乐学院是教育部公布的普通高等学校（本科），位于上海·上海市。
10255,东华大学,上海,上海市,公办,本科,0,1,1,东华大学是教育部公布的普通高等学校（本科），位于上海·上海市。
10269,华东师范大学,上海,上海市,公办,本科,1,1,1,华东师范大学是教育部公布的普通高等学校（本科），位于上海·上海市。
10276,华东政法大学,上海,上海市,公办,本科,0,0,0,华东政法大学是教育部公布的普通高等学校（本科），位于上海·上海市。
10251,华东理工大学,上海,上海市,公办,本科,0,1,1,华东理工大学是教育部公布的普通高等学校（本科），位于上海·上海市。
10247,同济大学,上海,上海市,公办,本科,1,1,1,同济大学是教育部公布的普通高等学校（本科），位于上海·上海市。
10246,复旦大学,上海,上海市,公办,本科,1,1,1,复旦大学是教育部公布的普通高等学校（本科），位于上海·上海市。
10416,上饶师范学院,上饶,上饶市,公办,本科,0,0,0,上饶师范学院是教育部公布的普通高等学校（本科），位于上饶·上饶市。
11819,东莞理工学院,东莞,东莞市,公办,本科,0,0,0,东莞理工学院是教育部公布的普通高等学校（本科），位于东莞·东莞市。
13844,东莞理工学院城市学院,东莞,东莞市,民办,本科,0,0,0,东莞理工学院城市学院是教育部公布的普通高等学校（本科），位于东莞·东莞市。
13719,广东科技学院,东莞,东莞市,民办,本科,0,0,0,广东科技学院是教育部公布的普通高等学校（本科），位于东莞·东莞市。
13386,中国石油大学胜利学院,东营,东营市,民办,本科,0,0,0,中国石油大学胜利学院是教育部公布的普通高等学校（本科），位于东营·东营市。
11545,电子科技大学中山学院,中山,中山市,民办,本科,0,0,0,电子科技大学中山学院是教育部公布的普通高等学校（本科），位于中山·中山市。
10118,山西师范大学,临汾,临汾市,公办,本科,0,0,0,山西师范大学是教育部公布的普通高等学校（本科），位于临汾·临汾市。
13537,山西师范大学现代文理学院,临汾,临汾市,民办,本科,0,0,0,山西师范大学现代文理学院是教育部公布的普通高等学校（本科），位于临汾·临汾市。
10452,临沂大学,临沂,临沂市,公办,本科,0,0,0,临沂大学是教育部公布的普通高等学校（本科），位于临沂·临沂市。
14092,滇西科技师范学院,临沧,临沧市,公办,本科,0,0,0,滇西科技师范学院是教育部公布的普通高等学校（本科），位于临沧·临沧市。
11779,辽东学院,丹东,丹东市,公办,本科,0,0,0,辽东学院是教育部公布的普通高等学校（本科），位于丹东·丹东市。
10352,丽水学院,丽水,丽水市,公办,本科,0,0,0,丽水学院是教育部公布的普通高等学校（本科），位于丽水·丽水市。
13328,云南大学旅游文化学院,丽江,丽江市,民办,本科,0,0,0,云南大学旅游文化学院是教育部公布的普通高等学校（本科），位于丽江·丽江市。
